LEMA                           | CATEGORÍA      
giod                           | desconocido    
giuran                         | desconocido    
giustalis                      | desconocido    
ddis                           | desconocido    
grad                           | desconocido    
ciamp                          | desconocido    
grassott                       | desconocido    
grassur                        | desconocido    
gregn                          | desconocido    
nguanter                       | desconocido    
gul                            | desconocido    
gullittin                      | desconocido    
gàrbul                         | desconocido    
iaddin                         | desconocido    
iass                           | desconocido    
iastim                         | desconocido    
icchen                         | desconocido    
èriv                           | desconocido    
inizz                          | desconocido    
trasut                         | desconocido    
ntrit                          | desconocido    
issar                          | desconocido    
jittatur                       | desconocido    
jestr                          | desconocido    
irvicedd                       | desconocido    
jissott                        | desconocido    
jistern                        | desconocido    
àcul                           | desconocido    
cuzzat                         | desconocido    
lariol                         | desconocido    
làrim                          | desconocido    
lautedd                        | desconocido    
vilanz                         | desconocido    
ligam                          | desconocido    
liar                           | desconocido    
liss                           | desconocido    
lucèrtul                       | desconocido    
làppar                         | desconocido    
lìnnin                         | desconocido    
mafaredd                       | desconocido    
màgar                          | desconocido    
magghiett                      | desconocido    
maggiuranz                     | desconocido    
manciat                        | desconocido    
manciatur                      | desconocido    
mantasciat                     | desconocido    
marv                           | desconocido    
parrastr                       | desconocido    
mbriulat                       | desconocido    
mpudd                          | desconocido    
mbulanz                        | desconocido    
ncruciament                    | desconocido    
iacqu                          | desconocido    
midudd                         | desconocido    
minchiat                       | desconocido    
vinnitt                        | desconocido    
minzin                         | desconocido    
mizzalor                       | desconocido    
mmasciat                       | desconocido    
mmerdaus                       | desconocido    
mmirnat                        | desconocido    
munnizz                        | desconocido    
mpill                          | desconocido    
mpinnat                        | desconocido    
mprent                         | desconocido    
muffurat                       | desconocido    
mulincian                      | desconocido    
munganazz                      | desconocido    
munitola                       | desconocido    
muramm                         | desconocido    
murtatell                      | desconocido    
mànnar                         | desconocido    
mèus                           | desconocido    
mìngar                         | desconocido    
cannar                         | desconocido    
muntat                         | desconocido    
nchiastr                       | desconocido    
nchimatur                      | desconocido    
ngrisp                         | desconocido    
nenn                           | desconocido    
ngarratur                      | desconocido    
ngulatur                       | desconocido    
nichej                         | desconocido    
napp                           | desconocido    
nunnat                         | desconocido    
nutann                         | desconocido    
nzalat                         | desconocido    
nsir                           | desconocido    
ntrabbuliat                    | desconocido    
nucidd                         | desconocido    
nuciddar                       | desconocido    
numinat                        | desconocido    
nuven                          | desconocido    
gallott                        | desconocido    
nuzzol                         | desconocido    
nzugn                          | desconocido    
nànfar                         | desconocido    
nèul                           | desconocido    
àip                            | desconocido    
papanzìcul                     | desconocido    
papuzzan                       | desconocido    
pappat                         | desconocido    
ant                            | desconocido    
pirgamen                       | desconocido    
parm                           | desconocido    
parrat                         | desconocido    
pasquer                        | desconocido    
pastucher                      | desconocido    
pauniss                        | desconocido    
perdican                       | desconocido    
petrafènnul                    | desconocido    
picchius                       | desconocido    
piccicut                       | desconocido    
picciridd                      | desconocido    
pidan                          | desconocido    
pilinguedd                     | desconocido    
piddizz                        | desconocido    
pirterr                        | desconocido    
pistulen                       | desconocido    
pècur                          | desconocido    
praj                           | desconocido    
prattin                        | desconocido    
prenz                          | desconocido    
prucar                         | desconocido    
prunar                         | desconocido    
pruvenn                        | desconocido    
prèvul                         | desconocido    
pròvul                         | desconocido    
purp                           | desconocido    
pupian                         | desconocido    
pusat                          | desconocido    
pustedd                        | desconocido    
putij                          | desconocido    
pàggin                         | desconocido    
pàmpin                         | desconocido    
pìnnul                         | desconocido    
pòlis                          | desconocido    
quadar                         | desconocido    
quasett                        | desconocido    
quattar                        | desconocido    
quinnen                        | desconocido    
ranz                           | desconocido    
rast                           | desconocido    
ricumpenz                      | desconocido    
riggin                         | desconocido    
limarr                         | desconocido    
rosamarin                      | desconocido    
ruvett                         | desconocido    
dàttul                         | desconocido    
règul                          | desconocido    
sars                           | desconocido    
sciarr                         | desconocido    
sfurtun                        | desconocido    
nzing                          | desconocido    
zorb                           | desconocido    
sasizz                         | desconocido    
tampasiat                      | desconocido    
tijedd                         | desconocido    
tilup                          | desconocido    
